gender,level_of_education,enrollment_mode,ageCategory,ad1,ad2,ad3,ad4,sd1,sd2,sd3,sd4,de1,de2,de3,de4,cc1,cc2,cc3,cc4,rts1,rts2,rts3,rts4,score1_correct,score1_attempts,score2_correct,score2_attempts,score3_correct,score3_attempts,score4_correct,score4_attempts,next1,next2,next3,next4
m,m,audit,1970-1985,1.0,0.9,1.0,0.8,0.875,1.0,1.0,0.8333333333333334,0.8,1.0,1.0,0.75,1.0,0.6,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,5.0,5.0,3.0,4.0,0.0,0.0,0,0,17898,11932,2983,2983
None,None,audit,Null,1.0,0.9,0.8,0.7666666666666666,0.9375,0.5,0.875,1.0,1.0,1.0,0.9166666666666666,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,5.0,5.0,3.0,4.0,0.0,0.0,0,0,17898,11932,2983,2983
m,b,audit,Null,0.9166666666666666,1.0,0.9,0.5666666666666667,0.8541666666666666,0.6666666666666666,0.875,1.0,1.0,0.2,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,5.0,7.0,2.0,5.0,0.0,0.0,0,0,17898,11932,2983,2983
m,b,audit,Null,0.9166666666666666,1.0,0.9,0.5666666666666667,0.8541666666666666,0.6666666666666666,0.875,1.0,1.0,0.2,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,5.0,7.0,2.0,5.0,0.0,0.0,0,0,17898,11932,2983,2983
m,b,audit,1990-1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,5.0,5.0,3.0,3.0,0.0,0.0,0,0,17898,11932,2983,2983
None,None,audit,Null,1.0,0.5666666666666667,0.7,0.6,1.0,1.0,0.5,0.8333333333333334,0.5,0.2,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.0,0.1111111111111111,0.0,1.0,0.2857142857142857,0.25,0.0,3.0,8.0,0.0,7.0,0.0,0.0,0,0,17898,11932,2983,2983
None,None,verified,Null,1.0,0.8,0.8,0.9,0.875,1.0,0.875,1.0,0.8,0.9,1.0,0.8125,1.0,1.0,0.6666666666666666,0.4,1.0,1.0,0.5,0.6666666666666666,4.0,5.0,2.0,3.0,0.0,0.0,0,0,17898,11932,2983,2983
f,b,verified,1970-1985,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,0.875,1.0,1.0,0.7,1.0,0.7083333333333333,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,0.8333333333333334,1.0,4.0,6.0,3.0,3.0,0.0,0.0,0,0,17898,11932,2983,2983
f,b,audit,1970-1985,1.0,1.0,1.0,0.8,1.0,0.8333333333333334,0.875,1.0,1.0,0.7,1.0,0.7083333333333333,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,0.8333333333333334,1.0,4.0,6.0,3.0,3.0,0.0,0.0,0,0,17898,11932,2983,2983
m,b,audit,1990-1995,0.9166666666666666,1.0,0.44000000000000006,0.8,1.0,0.5,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.5,1.0,5.0,5.0,3.0,3.0,0.0,0.0,0,0,17898,11932,2983,2983
